Location,Latitude,Longitude
Bridewell,53.35005,-6.275874
Fitzgibbon,53.357847,-6.255418
Mountjoy,53.360484,-6.266825
Store,53.350401,-6.252243
Balbriggan,53.614394,-6.190959
Garristown,53.567034,-6.383895
Lusk,53.523408,-6.167363
Skerries,53.579616,-6.106996
Ballymun,53.394395,-6.263822
Dublin Airport,53.429677,-6.244087
Santry,53.389765,-6.251572
Coolock,53.395849,-6.213343
Malahide,53.45112,-6.151918
Swords,53.4562,-6.221127
Clontarf,53.363376,-6.220033
Howth,53.387287,-6.069001
Raheny,53.378886,-6.178021
Blanchardstown,53.389836,-6.380857
Cabra,53.364933,-6.30789
Finglas,53.389599,-6.306367
Dun Laoighre,53.289834,-6.13322
Cabinteely,53.26084,-6.150644
Dundrum,53.289572,-6.242509
Blackrock,53.299812,-6.177495
Terenure,53.309748,-6.288021
Rathmines,53.321309,-6.266997
Tallaght,53.286782,-6.367693
Rathfarnham,53.297421,-6.28861
Sundrive Road,53.330241,-6.298745
Crumlin,53.319527,-6.314806
Kilmainham,53.342023,-6.304398
Kevin St,53.338786,-6.269931
Pearse St,53.345702,-6.256264
Donnybrook,53.321731,-6.235914
Irishtown,53.338042,-6.223058
Lucan,53.355905,-6.450562
Ronanstown,53.337871,-6.406039
Rathcoole,53.281816,-6.464711
Clondalkin,53.323068,-6.39479
Ballyfermot,53.344757,-6.357996